id,bid_submission_id,content,logged_by_id,date,created_at
41118483-7b0e-4634-b183-fd1f86ca826b,cff8a059-370f-4da4-b25b-781162d296c5,提交投标报名申请，获得投标资格,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2022-10-19,2022-12-04
a03af237-f7ea-42bb-8844-61e9088bc99d,cff8a059-370f-4da4-b25b-781162d296c5,完成招标文件下载，组织技术研讨,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2022-11-21,2023-05-14
b5151ac1-4ef4-4538-962b-f846881d0c43,cff8a059-370f-4da4-b25b-781162d296c5,完成投标文件制作，内部审核通过,2a501642-46e3-4cfc-b316-8bf332df5bc2,2023-06-27,2023-05-22
92d3260a-5bd5-40d6-a5c4-909711cb8f58,cff8a059-370f-4da4-b25b-781162d296c5,成功递交投标文件,2a501642-46e3-4cfc-b316-8bf332df5bc2,2022-12-13,2023-04-28
55213a38-2f3e-4480-83e2-e3d3151676cc,f9def7dd-2332-4f12-bf10-a0a9e2f7b63b,提交投标报名申请，获得投标资格,2a501642-46e3-4cfc-b316-8bf332df5bc2,2023-05-29,2023-02-13
b00e6158-2e4d-45f0-b24b-ce9d5c38f590,f9def7dd-2332-4f12-bf10-a0a9e2f7b63b,完成招标文件下载，组织技术研讨,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-04-22,2022-11-11
c9fb3a19-0171-4c36-ade8-295d04576a1b,f9def7dd-2332-4f12-bf10-a0a9e2f7b63b,完成投标文件制作，内部审核通过,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-07-01,2023-04-13
c6434322-0eb1-4655-9dcf-c64ff03acf42,f9def7dd-2332-4f12-bf10-a0a9e2f7b63b,成功递交投标文件,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-06-07,2023-07-05
7598ed72-c373-4078-8edb-f741fded0719,e7d93e23-f857-4f6e-a4e8-4ef9be86d5f5,提交投标报名申请，获得投标资格,2a501642-46e3-4cfc-b316-8bf332df5bc2,2023-01-29,2023-02-25
52be3a7c-60c8-4e1b-b864-8719201d7985,e7d93e23-f857-4f6e-a4e8-4ef9be86d5f5,完成招标文件下载，组织技术研讨,2a501642-46e3-4cfc-b316-8bf332df5bc2,2022-11-16,2023-05-11
dd34a2e1-2a0b-41e4-8508-457409915094,e7d93e23-f857-4f6e-a4e8-4ef9be86d5f5,完成投标文件制作，内部审核通过,2a501642-46e3-4cfc-b316-8bf332df5bc2,2022-11-21,2023-05-16
018a538d-fa8a-48ab-8ad2-1f625ac4e2aa,1cb2f7c1-5369-4222-8b57-f780e3d9d260,提交投标报名申请，获得投标资格,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2022-10-15,2022-10-24
fa5566e5-7a52-456a-8785-11aa6ed4c5dc,1cb2f7c1-5369-4222-8b57-f780e3d9d260,完成招标文件下载，组织技术研讨,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2022-10-29,2023-02-28
9f17b104-4a39-4e19-9f62-7212f2d85482,1cb2f7c1-5369-4222-8b57-f780e3d9d260,完成投标文件制作，内部审核通过,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-04-10,2023-05-09
b8256607-ca3a-4ec9-95c1-af83ab522636,1cb2f7c1-5369-4222-8b57-f780e3d9d260,成功递交投标文件,2a501642-46e3-4cfc-b316-8bf332df5bc2,2023-02-03,2023-06-29
16ec511f-1d0c-49c3-abe4-bf6e0edd7ffd,d54ca358-7280-480d-9cf8-d60c68990018,提交投标报名申请，获得投标资格,2a501642-46e3-4cfc-b316-8bf332df5bc2,2022-12-27,2022-12-29
83d43996-d4bf-4b2b-be2b-f11b9136dc3d,d54ca358-7280-480d-9cf8-d60c68990018,完成招标文件下载，组织技术研讨,2a501642-46e3-4cfc-b316-8bf332df5bc2,2023-04-14,2023-02-01
e4ea7d5e-14e1-479e-b00c-7bf68314b73b,d54ca358-7280-480d-9cf8-d60c68990018,完成投标文件制作，内部审核通过,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-07-26,2022-12-13
708c6a4c-4816-491f-9777-edc31f38347f,d54ca358-7280-480d-9cf8-d60c68990018,成功递交投标文件,2a501642-46e3-4cfc-b316-8bf332df5bc2,2023-05-25,2023-02-08
d9b56a69-1fc9-4613-b4ea-db14ab24a977,d54ca358-7280-480d-9cf8-d60c68990018,参加开标会议,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-02-08,2022-10-05
90a02e1f-2ce4-4ca4-addc-16fdfacc5880,d54ca358-7280-480d-9cf8-d60c68990018,收到中标通知书,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-02-25,2023-07-07
f97140b5-937f-4016-9dd6-b2fdd9c405b3,f976d121-6f0d-4caf-8274-cf478e59563c,提交投标报名申请，获得投标资格,2a501642-46e3-4cfc-b316-8bf332df5bc2,2023-05-15,2023-03-26
372fa25f-27df-4996-a744-f331f1f3117d,f976d121-6f0d-4caf-8274-cf478e59563c,完成招标文件下载，组织技术研讨,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-05-06,2023-02-06
47ceea12-3b6b-4a36-b82a-7683cfc498c1,f976d121-6f0d-4caf-8274-cf478e59563c,完成投标文件制作，内部审核通过,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-03-04,2023-01-10
982f102e-f8a6-416c-b070-85e6646c35bc,f976d121-6f0d-4caf-8274-cf478e59563c,成功递交投标文件,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-06-05,2022-11-24
c6c14a6a-f0f7-4136-bf46-0ff16cfc0ef8,4c999d43-64f7-4975-bdfa-ff686a4cc580,提交投标报名申请，获得投标资格,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-07-20,2023-04-02
edfc725a-efbe-4dba-8b47-5cc305f276b6,4c999d43-64f7-4975-bdfa-ff686a4cc580,完成招标文件下载，组织技术研讨,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-03-01,2022-10-12
07285e6b-a4c3-4879-a887-2fc7688eb8e8,4c999d43-64f7-4975-bdfa-ff686a4cc580,完成投标文件制作，内部审核通过,5283b4cc-cfe8-4672-bcf4-98e7b2335e0b,2023-02-18,2022-10-05
504421e2-f3f1-417f-aae9-c2d6a69cee1a,4c999d43-64f7-4975-bdfa-ff686a4cc580,成功递交投标文件,2a501642-46e3-4cfc-b316-8bf332df5bc2,2023-06-12,2023-02-24
